1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","24000","24050","23860","23910","568225","23910"
"2020-01-07","24030","24300","24010","24300","170307","24300"
"2020-01-08","23900","24020","23650","23930","396435","23930"
"2020-01-09","24270","24500","24260","24440","188019","24440"
"2020-01-10","24500","24620","24480","24580","113641","24580"
"2020-01-14","24700","24790","24690","24730","284075","24730"
"2020-01-15","24660","24720","24610","24630","87793","24630"
"2020-01-16","24700","24710","24640","24670","41870","24670"
"2020-01-17","24830","24850","24740","24790","209201","24790"
"2020-01-20","24820","24840","24790","24810","42876","24810"
"2020-01-21","24800","24800","24560","24570","137274","24570"
"2020-01-22","24550","24770","24550","24760","179841","24760"
"2020-01-23","24570","24630","24490","24510","156663","24510"
"2020-01-24","24590","24590","24480","24550","65779","24550"
"2020-01-27","24060","24180","24010","24110","382449","24110"
"2020-01-28","23870","23950","23830","23940","320095","23940"
"2020-01-29","24000","24100","23920","24100","227687","24100"
"2020-01-30","23980","24020","23590","23650","311328","23650"
"2020-01-31","23860","24130","23850","23910","248984","23910"
"2020-02-03","23480","23730","23440","23680","271905","23680"
"2020-02-04","23580","23820","23550","23770","139834","23770"
"2020-02-05","24050","24120","23950","24050","161595","24050"
"2020-02-06","24380","24730","24370","24620","490808","24620"
"2020-02-07","24690","24700","24480","24550","190122","24550"
"2020-02-10","24330","24510","24330","24400","125517","24400"
"2020-02-12","24580","24610","24450","24600","126292","24600"
"2020-02-13","24600","24640","24520","24550","109462","24550"
"2020-02-14","24400","24460","24320","24390","107805","24390"
"2020-02-17","24230","24280","24050","24250","156377","24250"
"2020-02-18","24110","24130","23840","23900","234627","23900"
"2020-02-19","24040","24180","23950","24120","155136","24120"
"2020-02-20","24380","24530","24140","24210","294014","24210"
"2020-02-21","24130","24310","24080","24100","107743","24100"
"2020-02-25","23100","23450","23080","23330","632502","23330"
"2020-02-26","23030","23140","22810","23120","442540","23120"
"2020-02-27","22950","22970","22530","22640","476633","22640"
"2020-02-28","22070","22070","21590","21790","729652","21790"
"2020-03-02","21490","22270","21470","22040","594518","22040"
"2020-03-03","22370","22420","21770","21790","588127","21790"
"2020-03-04","21560","21910","21530","21780","381730","21780"
"2020-03-05","22090","22100","21890","22000","282643","22000"
"2020-03-06","21640","21720","21260","21360","667152","21360"
"2020-03-09","20530","20590","20070","20260","853251","20260"
"2020-03-10","19950","20600","19470","20470","962009","20470"
"2020-03-11","20310","20590","19990","20030","666818","20030"
"2020-03-12","19580","19750","18910","19140","1315902","19140"
"2020-03-13","17690","18730","17220","18020","1648442","18020"
"2020-03-16","18140","18350","17480","17540","628846","17540"
"2020-03-17","17140","18120","16910","17520","1600891","17520"
"2020-03-18","17700","17940","17260","17940","1108148","17940"
"2020-03-19","17680","17750","16900","17080","991335","17080"
"2020-03-23","17050","17560","16970","17380","1292179","17380"
"2020-03-24","18170","18670","18080","18620","1149781","18620"
"2020-03-25","19550","20170","19410","20110","822301","20110"
"2020-03-26","19500","19710","19070","19260","599307","19260"
"2020-03-27","19850","19930","19390","19630","968569","19630"
"2020-03-30","19340","19790","19310","19770","478614","19770"
"2020-03-31","19940","20110","19590","19700","931826","19700"
"2020-04-01","19360","19550","18590","18750","745369","18750"
"2020-04-02","18610","18870","18410","18540","513795","18540"
"2020-04-03","18670","18810","18350","18550","292380","18550"
"2020-04-06","18550","19430","18510","19350","492258","19350"
"2020-04-07","19750","19950","19290","19730","621756","19730"
"2020-04-08","19780","20250","19480","20130","1005739","20130"
"2020-04-09","20150","20190","19940","20090","523505","20090"
"2020-04-10","20320","20320","20010","20250","527357","20250"
"2020-04-13","20040","20150","19770","19780","346662","19780"
"2020-04-14","19920","20510","19880","20400","655319","20400"
"2020-04-15","20330","20450","20240","20330","269702","20330"
"2020-04-16","20050","20140","19930","20090","943838","20090"
"2020-04-17","20460","20730","20400","20670","659076","20670"
"2020-04-20","20380","20580","20370","20470","356732","20470"
"2020-04-21","20240","20320","19960","20070","424853","20070"
"2020-04-22","19870","19910","19620","19910","449787","19910"
"2020-04-23","20070","20200","20000","20180","253402","20180"
"2020-04-24","20120","20130","19940","20030","177008","20030"
"2020-04-27","20250","20610","20230","20550","425131","20550"
"2020-04-28","20590","20640","20420","20560","908341","20560"
"2020-04-30","21090","21190","21000","21000","765904","21000"
"2020-05-01","20760","20760","20340","20430","442330","20430"
"2020-05-07","20220","20520","20210","20440","344214","20440"
"2020-05-08","20750","20990","20700","20980","367481","20980"
"2020-05-11","21150","21370","21120","21200","364731","21200"
"2020-05-12","21250","21280","21110","21210","268385","21210"
"2020-05-13","20900","21150","20860","21070","303835","21070"
"2020-05-14","20950","21000","20700","20700","253993","20700"
"2020-05-15","20960","21010","20630","20820","392950","20820"
"2020-05-18","20920","21020","20800","20940","207463","20940"
"2020-05-19","21490","21490","21250","21280","372702","21280"
"2020-05-20","21270","21520","21260","21420","374578","21420"
"2020-05-21","21550","21570","21330","21390","271672","21390"
"2020-05-22","21400","21450","21140","21200","304409","21200"
"2020-05-25","21520","21560","21400","21560","355334","21560"
"2020-05-26","21800","22190","21770","22120","699713","22120"
"2020-05-27","22110","22340","22000","22280","535026","22280"
"2020-05-28","22570","22800","22450","22800","1115436","22800"
"2020-05-29","22680","22840","22580","22750","395394","22750"
"2020-06-01","22810","23060","22780","22930","427046","22930"
"2020-06-02","23070","23310","23010","23250","448387","23250"
"2020-06-03","23680","23740","23370","23600","864987","23600"
"2020-06-04","23840","23870","23410","23600","451929","23600"
"2020-06-05","23550","23780","23470","23770","486638","23770"
"2020-06-08","24100","24110","23950","24070","408090","24070"
"2020-06-09","24060","24120","23850","24030","434102","24030"
"2020-06-10","23830","24100","23810","24020","400456","24020"
"2020-06-11","23680","23860","23370","23390","806637","23390"
"2020-06-12","22890","23250","22660","23160","909561","23160"
